,game_date,status,away_name,home_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,venue_id
224,2024-04-06,Final,Philadelphia Phillies,Washington Nationals,Jake Irvin,Ranger Suárez,5,2,3309
225,2024-04-06,Final,New York Mets,Cincinnati Reds,Nick Martinez,Luis Severino,6,9,2602
226,2024-04-06,Final,Houston Astros,Texas Rangers,Jon Gray,J.P. France,2,7,5325
227,2024-04-06,Final,Toronto Blue Jays,New York Yankees,Clarke Schmidt,Kevin Gausman,8,9,3313
228,2024-04-06,Final,Chicago White Sox,Kansas City Royals,Michael Wacha,Chris Flexen,0,3,7
229,2024-04-06,Final,Seattle Mariners,Milwaukee Brewers,DL Hall,Bryce Miller,5,3,32
230,2024-04-06,Final,Arizona Diamondbacks,Atlanta Braves,Max Fried,Brandon Pfaadt,8,9,4705
231,2024-04-06,Final,Tampa Bay Rays,Colorado Rockies,Ryan Feltner,Tyler Alexander,8,6,19
232,2024-04-06,Final,San Diego Padres,San Francisco Giants,Keaton Winn,Michael King,4,0,2395
233,2024-04-06,Final,Boston Red Sox,Los Angeles Angels,Reid Detmers,Garrett Whitlock,1,2,1
234,2024-04-07,Final,Baltimore Orioles,Pittsburgh Pirates,Marco Gonzales,Dean Kremer,2,3,31
235,2024-04-07,Final,Philadelphia Phillies,Washington Nationals,MacKenzie Gore,Cristopher Sánchez,2,3,3309
236,2024-04-07,Final,Arizona Diamondbacks,Atlanta Braves,Chris Sale,Ryne Nelson,2,5,4705
237,2024-04-07,Final,Toronto Blue Jays,New York Yankees,Luis Gil,Bowden Francis,3,8,3313
238,2024-04-07,Final,New York Mets,Cincinnati Reds,Andrew Abbott,Sean Manaea,3,1,2602
239,2024-04-07,Final,Oakland Athletics,Detroit Tigers,Jack Flaherty,Joe Boyle,7,1,2394
240,2024-04-07,Final,Chicago White Sox,Kansas City Royals,Alec Marsh,Garrett Crochet,3,5,7
241,2024-04-07,Final,Seattle Mariners,Milwaukee Brewers,Colin Rea,Emerson Hancock,4,12,32
242,2024-04-07,Final,Miami Marlins,St. Louis Cardinals,Kyle Gibson,Max Meyer,10,3,2889
243,2024-04-07,Final,Los Angeles Dodgers,Chicago Cubs,Shota Imanaga,Gavin Stone,1,8,17
244,2024-04-07,Final,Tampa Bay Rays,Colorado Rockies,Dakota Hudson,Ryan Pepiot,3,2,19
245,2024-04-07,Final,San Diego Padres,San Francisco Giants,Logan Webb,Matt Waldron,2,3,2395
246,2024-04-07,Final,Boston Red Sox,Los Angeles Angels,Chase Silseth,Tanner Houck,12,2,1
247,2024-04-07,Final,Houston Astros,Texas Rangers,Dane Dunning,Ronel Blanco,3,1,5325
248,2024-04-07,Postponed,Cleveland Guardians,Minnesota Twins,Bailey Ober,Triston McKenzie,0,0,3312
249,2024-04-08,Final,Chicago White Sox,Cleveland Guardians,Triston McKenzie,Tanner Banks,0,4,5
250,2024-04-08,Final,Miami Marlins,New York Yankees,Nestor Cortes,Jesús Luzardo,0,7,3313
251,2024-04-08,Final,Detroit Tigers,Pittsburgh Pirates,Mitch Keller,Reese Olson,4,7,31
252,2024-04-08,Final,Milwaukee Brewers,Cincinnati Reds,Graham Ashcraft,Aaron Ashby,8,10,2602
